id,cjb_test,cue,opt_score
3359,ts,M,-0.8
3359,ts,NP,0.8
3359,ts,NN,-1
3359,ts,P,0.964285714285714
3359,ts,N,-0.907407407407407
3361,ts,M,-0.555555555555556
3361,ts,NP,1
3361,ts,NN,-1
3361,ts,P,1
3361,ts,N,-0.850467289719626
3363,ts,M,-0.4
3363,ts,NP,0.333333333333333
3363,ts,NN,-0.75
3363,ts,P,0.929203539823009
3363,ts,N,-0.8
3367,ts,M,-0.4
3367,ts,NP,0.777777777777778
3367,ts,NN,-1
3367,ts,P,0.87719298245614
3367,ts,N,-0.851851851851852
3377,ts,M,-0.2
3377,ts,NP,0.6
3377,ts,NN,-1
3377,ts,P,1
3377,ts,N,-0.801801801801802
3379,ts,M,0.555555555555556
3379,ts,NP,0.777777777777778
3379,ts,NN,-0.6
3379,ts,P,1
3379,ts,N,-0.743589743589744
3387,ts,M,-0.4
3387,ts,NP,0.8
3387,ts,NN,-0.8
3387,ts,P,0.796296296296296
3387,ts,N,-0.839285714285714
3391,ts,M,-0.8
3391,ts,NP,0.2
3391,ts,NN,-0.8
3391,ts,P,0.963963963963964
3391,ts,N,-0.688073394495413
3429,ts,M,-0.555555555555556
3429,ts,NP,1
3429,ts,NN,-1
3429,ts,P,0.981818181818182
3429,ts,N,-0.81981981981982
3433,ts,M,-0.8
3433,ts,NP,1
3433,ts,NN,-0.8
3433,ts,P,1
3433,ts,N,-0.890909090909091
3441,ts,M,0.111111111111111
3441,ts,NP,1
3441,ts,NN,-0.8
3441,ts,P,0.963302752293578
3441,ts,N,-0.767857142857143
3443,ts,M,0.111111111111111
3443,ts,NP,0.5
3443,ts,NN,-0.2
3443,ts,P,0.873873873873874
3443,ts,N,-0.767857142857143
3492,ts,M,0.4
3492,ts,NP,1
3492,ts,NN,-0.8
3492,ts,P,0.981981981981982
3492,ts,N,-0.834862385321101
3493,ts,M,0.6
3493,ts,NP,0.6
3493,ts,NN,-0.6
3493,ts,P,0.8
3493,ts,N,-0.745454545454545
3495,ts,M,0.111111111111111
3495,ts,NP,0.555555555555556
3495,ts,NN,-0.777777777777778
3495,ts,P,0.981132075471698
3495,ts,N,-0.709401709401709
3496,ts,M,0.4
3496,ts,NP,1
3496,ts,NN,-0.714285714285714
3496,ts,P,0.981981981981982
3496,ts,N,-0.946428571428571
3497,ts,M,-0.2
3497,ts,NP,0.555555555555556
3497,ts,NN,-0.6
3497,ts,P,1
3497,ts,N,-0.765765765765766
3498,ts,M,0
3498,ts,NP,0.6
3498,ts,NN,-0.333333333333333
3498,ts,P,0.727272727272727
3498,ts,N,-0.72972972972973
3499,ts,M,-0.6
3499,ts,NP,0.8
3499,ts,NN,-0.8
3499,ts,P,0.890909090909091
3499,ts,N,-0.945454545454545
3525,ts,M,-0.4
3525,ts,NP,0.8
3525,ts,NN,-0.4
3525,ts,P,0.876106194690266
3525,ts,N,-0.794392523364486
3526,ts,M,-0.8
3526,ts,NP,0.8
3526,ts,NN,-0.8
3526,ts,P,1
3526,ts,N,-0.801801801801802
3528,ts,M,-0.6
3528,ts,NP,0.8
3528,ts,NN,0
3528,ts,P,0.944954128440367
3528,ts,N,-0.657657657657658
3529,ts,M,0.2
3529,ts,NP,1
3529,ts,NN,-0.8
3529,ts,P,0.927927927927928
3529,ts,N,-0.763636363636364
3530,ts,M,-1
3530,ts,NP,0.6
3530,ts,NN,-0.8
3530,ts,P,0.944444444444444
3530,ts,N,-0.892857142857143
3531,ts,M,-1
3531,ts,NP,0
3531,ts,NN,-0.8
3531,ts,P,0.648148148148148
3531,ts,N,-0.625
3532,ts,M,-0.2
3532,ts,NP,0.8
3532,ts,NN,-0.8
3532,ts,P,0.867924528301887
3532,ts,N,-0.614035087719298
3355,tunnel,P,0.946666667
3355,tunnel,NP,1
3355,tunnel,M,0.2
3355,tunnel,NN,-0.2
3355,tunnel,N,-0.76
3357,tunnel,P,0.893333333
3357,tunnel,NP,1
3357,tunnel,M,-0.2
3357,tunnel,NN,-0.2
3357,tunnel,N,-0.493333333
3365,tunnel,P,0.706666667
3365,tunnel,NP,1
3365,tunnel,M,1
3365,tunnel,NN,-0.2
3365,tunnel,N,-0.76
3369,tunnel,P,0.893333333
3369,tunnel,NP,0.6
3369,tunnel,M,-0.2
3369,tunnel,NN,-0.6
3369,tunnel,N,-0.68
3381,tunnel,P,0.893333333
3381,tunnel,NP,0.2
3381,tunnel,M,-0.6
3381,tunnel,NN,-1
3381,tunnel,N,-0.84
3383,tunnel,P,0.813333333
3383,tunnel,NP,0.6
3383,tunnel,M,-0.2
3383,tunnel,NN,-0.6
3383,tunnel,N,-0.546666667
3385,tunnel,P,0.786666667
3385,tunnel,NP,0.6
3385,tunnel,M,1
3385,tunnel,NN,-0.6
3385,tunnel,N,-0.76
3389,tunnel,P,0.973333333
3389,tunnel,NP,1
3389,tunnel,M,1
3389,tunnel,NN,0.6
3389,tunnel,N,-0.573333333
3431,tunnel,P,1
3431,tunnel,NP,1
3431,tunnel,M,-0.2
3431,tunnel,NN,-0.6
3431,tunnel,N,-0.546666667
3435,tunnel,P,0.973333333
3435,tunnel,NP,1
3435,tunnel,M,1
3435,tunnel,NN,0.2
3435,tunnel,N,-0.52
3437,tunnel,P,0.973333333
3437,tunnel,NP,1
3437,tunnel,M,-0.2
3437,tunnel,NN,-1
3437,tunnel,N,-0.706666667
3439,tunnel,P,0.973333333
3439,tunnel,NP,0.6
3439,tunnel,M,-0.6
3439,tunnel,NN,-0.2
3439,tunnel,N,-0.12
